parent,classification,used_by_lhs,stages,source_v4_lines,notes
f_pump_prev,previous_state_reference,f_pump,tower_mill,1314,Lagged state supplied by the simulator state store.
f_ring_max,parameter,f_ring_sp,magnetic,1235,"Calibration, geometry, or tuning parameter; not generated by process equations."
f_ring_min,parameter,f_ring_sp,magnetic,1235,"Calibration, geometry, or tuning parameter; not generated by process equations."
f_ring_nom,parameter,f_ring_sp,magnetic,1235,"Calibration, geometry, or tuning parameter; not generated by process equations."
f_ring_opt,parameter,E_ring,magnetic,522,"Calibration, geometry, or tuning parameter; not generated by process equations."
f_ring_prev,previous_state_reference,f_ring,magnetic,1237,Lagged state supplied by the simulator state store.
"f_{s,drug}",equipment_or_control_state,fx_s{s}_{drug}_freq,flotation,1687,Equipment state or actuator signal generated by another execution block.
fault_value,known_global,fx_s{s}_{c}_froth_h,dcs,manual,Shared simulation constant or helper function.
feed_flow_lag,previous_state_reference,online_load_proxy,dcs,1185,Lagged state supplied by the simulator state store.
feed_j,known_global,conc_j;overflow_j;sand_j;tail_j,magnetic;tower_mill,534;535;600;601,Shared simulation constant or helper function.
feed_solid,known_global,M_tm_overflow_solid;M_tm_sand_solid,tower_mill,1333;1334,Shared simulation constant or helper function.
feed_water,known_global,M_tm_overflow_water;M_tm_sand_water,tower_mill,1337;1338,Shared simulation constant or helper function.
feedforward_state,controller_internal,u_sp,global,282,"Controller memory, feedforward flag, or intervention input."
ffill_reported,known_global,quality_proxy_s,flotation,1471,Shared simulation constant or helper function.
final_conc_s,known_global,y_fx_xin_s_true,flotation,973,Shared simulation constant or helper function.
froth_h_lag,previous_state_reference,online_froth_proxy,dcs,1186,Lagged state supplied by the simulator state store.
g,known_global,"P_cell_{s,c}",flotation,1554,Shared simulation constant or helper function.
gas_holdup_max_c,parameter,"gas_holdup_{s,c}",flotation,1558,"Calibration, geometry, or tuning parameter; not generated by process equations."
grade_NT_under_j_s,stream_or_state_input,M_feed_j_s,flotation,manual,Upstream stream or dynamic state entering this formula from process topology.
grid_voltage,known_global,V_ring_motor_phys,magnetic,1265,Shared simulation constant or helper function.
h0,parameter,hydrophobic_potential,global,250,"Calibration, geometry, or tuning parameter; not generated by process equations."
h_ca,parameter,hydrophobic_potential,global,250,"Calibration, geometry, or tuning parameter; not generated by process equations."
h_carb,parameter,hydrophobic_potential,global,250,"Calibration, geometry, or tuning parameter; not generated by process equations."
h_fine,parameter,hydrophobic_potential,global,250,"Calibration, geometry, or tuning parameter; not generated by process equations."
h_froth,parameter,M_feed_sp,flotation,1622,"Calibration, geometry, or tuning parameter; not generated by process equations."
"h_froth_lag_{s,c}",parameter,"Q_air_sp_{s,c};dose_need_TD_rough_s",flotation,1491;1535,"Calibration, geometry, or tuning parameter; not generated by process equations."
"h_froth_prev_{s,c}",parameter,"h_froth_{s,c}",flotation,1568,"Calibration, geometry, or tuning parameter; not generated by process equations."
h_froth_target_c,parameter,"R_froth_zone_{s,c}",flotation,1588,"Calibration, geometry, or tuning parameter; not generated by process equations."
h_high,parameter,M_feed_sp,flotation,1622,"Calibration, geometry, or tuning parameter; not generated by process equations."
h_k6,parameter,hydrophobic_potential,global,250,"Calibration, geometry, or tuning parameter; not generated by process equations."
h_lib,parameter,hydrophobic_potential,global,250,"Calibration, geometry, or tuning parameter; not generated by process equations."
h_ref,parameter,dose_need_TD_rough_s,flotation,1491,"Calibration, geometry, or tuning parameter; not generated by process equations."
h_ref_c,parameter,"Q_air_sp_{s,c}",flotation,1535,"Calibration, geometry, or tuning parameter; not generated by process equations."
h_scrape_ref_c,parameter,"scraper_speed_{s,c}",flotation,1563,"Calibration, geometry, or tuning parameter; not generated by process equations."
h_sil,parameter,hydrophobic_potential,global,250,"Calibration, geometry, or tuning parameter; not generated by process equations."
health_oil_pump,parameter,oil_flow,tower_mill,1387,"Calibration, geometry, or tuning parameter; not generated by process equations."
"health_pool_pump_{s,k}",parameter,"Q_pump_pool_{s,k}",flotation,1640,"Calibration, geometry, or tuning parameter; not generated by process equations."
health_pump,parameter,Q_pump,tower_mill,1315,"Calibration, geometry, or tuning parameter; not generated by process equations."
"health_{s,j}",parameter,"Q_{s,j}_ml_s",flotation,1500,"Calibration, geometry, or tuning parameter; not generated by process equations."
hydro_ref_c,parameter,"Q_air_sp_{s,c}",flotation,1535,"Calibration, geometry, or tuning parameter; not generated by process equations."
i,template_index,lab_{i}_eryi_f200;lab_{i}_eryi_tfe,boundary,432;433,Short template index resolved during code generation.
"int_L_error_{s,c}",template_variable,"u_lv_sp_{s,c}",flotation,1582,Template index or symbolic family member resolved during code generation.
integral,controller_internal,u_sp,global,282,"Controller memory, feedforward flag, or intervention input."
intervention,controller_internal,u_sp,global,282,"Controller memory, feedforward flag, or intervention input."
k0_g_c,parameter,"k_float_gangue_{s,c}",flotation,1602,"Calibration, geometry, or tuning parameter; not generated by process equations."
k0_hem_c,parameter,"k_float_fe_hem_{s,c}",flotation,1606,"Calibration, geometry, or tuning parameter; not generated by process equations."
k0_mag_c,parameter,"k_float_fe_mag_{s,c}",flotation,1605,"Calibration, geometry, or tuning parameter; not generated by process equations."
k1_c,parameter,"E_air_{s,c}",flotation,1595,"Calibration, geometry, or tuning parameter; not generated by process equations."
k2_c,parameter,"E_air_{s,c}",flotation,1595,"Calibration, geometry, or tuning parameter; not generated by process equations."
kC,template_index,alpha_ov;grind_difficulty,tower_mill,1329;1363,Short template index resolved during code generation.
kCL,parameter,grind_difficulty,tower_mill,1363,"Calibration, geometry, or tuning parameter; not generated by process equations."
kE,template_index,F325_discharge_inst,tower_mill,1374,Short template index resolved during code generation.
kF,template_index,alpha_ov,tower_mill,1329,Short template index resolved during code generation.
kH_pool_k,parameter,"I_pool_phys_{s,k}",flotation,1641,"Calibration, geometry, or tuning parameter; not generated by process equations."
kK6_c,parameter,"E_depressant_{s,c}",flotation,1593,"Calibration, geometry, or tuning parameter; not generated by process equations."
kM,template_index,P_mech_ss,tower_mill,1369,Short template index resolved during code generation.
kM_NT,parameter,I_NT_s,flotation,1465,"Calibration, geometry, or tuning parameter; not generated by process equations."
kP,template_index,P_cyc;alpha_ov,tower_mill,1316;1329,Short template index resolved during code generation.
kP_oil,parameter,T_oil_ss,tower_mill,1391,"Calibration, geometry, or tuning parameter; not generated by process equations."
kP_pump,parameter,I_pump_phys,tower_mill,1317,"Calibration, geometry, or tuning parameter; not generated by process equations."
kQ_ov,parameter,I_ov_pump_phys,tower_mill,1404,"Calibration, geometry, or tuning parameter; not generated by process equations."
kQ_pool_k,parameter,"I_pool_phys_{s,k}",flotation,1641,"Calibration, geometry, or tuning parameter; not generated by process equations."
kQ_pump,parameter,I_pump_phys,tower_mill,1317,"Calibration, geometry, or tuning parameter; not generated by process equations."
kQ_ring,parameter,I_ring_motor_phys,magnetic,1264,"Calibration, geometry, or tuning parameter; not generated by process equations."
kT_reagent_j,parameter,"reagent_viscosity_{s,j}",flotation,1647,"Calibration, geometry, or tuning parameter; not generated by process equations."
kWI,parameter,grind_difficulty,tower_mill,1363,"Calibration, geometry, or tuning parameter; not generated by process equations."
k_C_mixer_k,parameter,"I_mixer_phys_{s,k}",flotation,1651,"Calibration, geometry, or tuning parameter; not generated by process equations."
k_C_mu,parameter,mu_slurry,global,207,"Calibration, geometry, or tuning parameter; not generated by process equations."
k_L_clay,parameter,Liberation_fe_i,boundary,361,"Calibration, geometry, or tuning parameter; not generated by process equations."
k_L_size,parameter,Liberation_fe_i,boundary,361,"Calibration, geometry, or tuning parameter; not generated by process equations."
k_L_wi,parameter,Liberation_fe_i,boundary,361,"Calibration, geometry, or tuning parameter; not generated by process equations."
k_Lg_size,parameter,Liberation_gangue_i,boundary,368,"Calibration, geometry, or tuning parameter; not generated by process equations."
k_Lg_wi,parameter,Liberation_gangue_i,boundary,368,"Calibration, geometry, or tuning parameter; not generated by process equations."
k_NT_under,parameter,Q_NT_under_s,flotation,1461,"Calibration, geometry, or tuning parameter; not generated by process equations."
k_air_valve_c,parameter,"u_bv_sp_{s,c}",flotation,1555,"Calibration, geometry, or tuning parameter; not generated by process equations."
k_blower_discharge_drop_b,parameter,P_blower_pressure_b,flotation,1549,"Calibration, geometry, or tuning parameter; not generated by process equations."
k_cao_ca,parameter,Ca2_effect_s,flotation,1526,"Calibration, geometry, or tuning parameter; not generated by process equations."
k_cao_oh,parameter,OH_effect_s,flotation,1525,"Calibration, geometry, or tuning parameter; not generated by process equations."
k_clay_C,parameter,C_i,boundary,317,"Calibration, geometry, or tuning parameter; not generated by process equations."
k_clay_G,parameter,TFe_i,boundary,320,"Calibration, geometry, or tuning parameter; not generated by process equations."
k_clay_mu,parameter,mu_slurry,global,207,"Calibration, geometry, or tuning parameter; not generated by process equations."
k_clog,parameter,E_ring,magnetic,522,"Calibration, geometry, or tuning parameter; not generated by process equations."
k_collapse_c,parameter,"h_ss_{s,c}",flotation,1567,"Calibration, geometry, or tuning parameter; not generated by process equations."
k_cool_NT,parameter,T_under_s,flotation,1458,"Calibration, geometry, or tuning parameter; not generated by process equations."
k_cool_coil,parameter,T_coil_ss,magnetic,1221,"Calibration, geometry, or tuning parameter; not generated by process equations."
k_cool_cyc,parameter,T_slurry_overflow,tower_mill,1351,"Calibration, geometry, or tuning parameter; not generated by process equations."
k_cool_pipe,parameter,T_slurry_discharge_inst,tower_mill,1378,"Calibration, geometry, or tuning parameter; not generated by process equations."
k_cool_sand,parameter,T_slurry_sand,tower_mill,1353,"Calibration, geometry, or tuning parameter; not generated by process equations."
k_cool_to_NT,parameter,T_NT_in_s,flotation,1449,"Calibration, geometry, or tuning parameter; not generated by process equations."
k_drop_ring,parameter,V_ring_motor_phys,magnetic,1265,"Calibration, geometry, or tuning parameter; not generated by process equations."
k_dust,parameter,d(air_filter_fouling)/dt,flotation,1539,"Calibration, geometry, or tuning parameter; not generated by process equations."
k_f25_mu,parameter,mu_slurry,global,207,"Calibration, geometry, or tuning parameter; not generated by process equations."
k_fe_froth,parameter,"hydrophobic_load_{s,c}",flotation,1534,"Calibration, geometry, or tuning parameter; not generated by process equations."
k_feo_carb,parameter,FeO_proxy_i,boundary,346,"Calibration, geometry, or tuning parameter; not generated by process equations."
k_feo_hem,parameter,FeO_proxy_i,boundary,346,"Calibration, geometry, or tuning parameter; not generated by process equations."
k_feo_mag,parameter,FeO_proxy_i,boundary,346,"Calibration, geometry, or tuning parameter; not generated by process equations."
k_feo_sil,parameter,FeO_proxy_i,boundary,346,"Calibration, geometry, or tuning parameter; not generated by process equations."
k_fine_enrich,parameter,F325_overflow,tower_mill,1345,"Calibration, geometry, or tuning parameter; not generated by process equations."
"k_float_j_{s,c}",parameter,"R_j_{s,c}",flotation,1611,"Calibration, geometry, or tuning parameter; not generated by process equations."
k_flush_Q,parameter,P_flush_phys,magnetic,1263,"Calibration, geometry, or tuning parameter; not generated by process equations."
k_flush_open,parameter,P_flush_phys,magnetic,1263,"Calibration, geometry, or tuning parameter; not generated by process equations."
k_froth_pressure,parameter,"P_cell_{s,c}",flotation,1554,"Calibration, geometry, or tuning parameter; not generated by process equations."
k_gas_c,parameter,"gas_holdup_{s,c}",flotation,1558,"Calibration, geometry, or tuning parameter; not generated by process equations."
k_h_c,parameter,"h_ss_{s,c}",flotation,1567,"Calibration, geometry, or tuning parameter; not generated by process equations."
k_header_dust,parameter,header_resistance,flotation,1541,"Calibration, geometry, or tuning parameter; not generated by process equations."
k_header_valve,parameter,header_resistance,flotation,1541,"Calibration, geometry, or tuning parameter; not generated by process equations."
k_heat_A,parameter,T_stator_A_ss,tower_mill,1396,"Calibration, geometry, or tuning parameter; not generated by process equations."
k_heat_B,parameter,T_stator_B_ss,tower_mill,1397,"Calibration, geometry, or tuning parameter; not generated by process equations."
k_heat_conv,parameter,delta_T_mill,tower_mill,1377,"Calibration, geometry, or tuning parameter; not generated by process equations."
k_k6_pump,parameter,Q_k6_consumption_s,flotation,1511,"Calibration, geometry, or tuning parameter; not generated by process equations."
k_lib_fe,parameter,Liberation_fe_discharge_inst,tower_mill,1375,"Calibration, geometry, or tuning parameter; not generated by process equations."
k_lib_fe_enrich,parameter,Liberation_fe_overflow,tower_mill,1346,"Calibration, geometry, or tuning parameter; not generated by process equations."
k_lib_g,parameter,Liberation_gangue_discharge_inst,tower_mill,1376,"Calibration, geometry, or tuning parameter; not generated by process equations."
k_lib_g_enrich,parameter,Liberation_gangue_overflow,tower_mill,1347,"Calibration, geometry, or tuning parameter; not generated by process equations."
k_lip_c,parameter,"R_froth_zone_{s,c}",flotation,1588,"Calibration, geometry, or tuning parameter; not generated by process equations."
k_load_C,parameter,C_i,boundary,317,"Calibration, geometry, or tuning parameter; not generated by process equations."
k_loss_coil,parameter,T_coil_ss,magnetic,1221,"Calibration, geometry, or tuning parameter; not generated by process equations."
k_mag_G,parameter,TFe_i,boundary,320,"Calibration, geometry, or tuning parameter; not generated by process equations."
k_mu_float_c,parameter,"E_mu_{s,c}",flotation,1599,"Calibration, geometry, or tuning parameter; not generated by process equations."
k_mu_gas_c,parameter,"gas_holdup_{s,c}",flotation,1558,"Calibration, geometry, or tuning parameter; not generated by process equations."
k_mu_mixer_k,parameter,"I_mixer_phys_{s,k}",flotation,1651,"Calibration, geometry, or tuning parameter; not generated by process equations."
k_naoh_oh,parameter,OH_effect_s,flotation,1525,"Calibration, geometry, or tuning parameter; not generated by process equations."
k_oil_cooler,parameter,oil_cooling_flow,tower_mill,1390,"Calibration, geometry, or tuning parameter; not generated by process equations."
k_oil_delta,parameter,T_oil_out,tower_mill,1393,"Calibration, geometry, or tuning parameter; not generated by process equations."
k_oil_heat,parameter,T_oil_out,tower_mill,1393,"Calibration, geometry, or tuning parameter; not generated by process equations."
k_oil_pump,parameter,oil_flow,tower_mill,1387,"Calibration, geometry, or tuning parameter; not generated by process equations."
k_ore_temp,parameter,T_slurry_i,boundary,374,"Calibration, geometry, or tuning parameter; not generated by process equations."
k_ov,parameter,Q_ov_pump,tower_mill,1403,"Calibration, geometry, or tuning parameter; not generated by process equations."
k_over,parameter,F325_discharge_inst,tower_mill,1374,"Calibration, geometry, or tuning parameter; not generated by process equations."
k_pH,parameter,pH_ss_s,flotation,1527,"Calibration, geometry, or tuning parameter; not generated by process equations."
k_pipe_cooling,parameter,Q_cooling_water,magnetic,1220,"Calibration, geometry, or tuning parameter; not generated by process equations."
k_pool_pump_k,parameter,"Q_pump_pool_{s,k}",flotation,1640,"Calibration, geometry, or tuning parameter; not generated by process equations."
k_pump,parameter,Q_pump,tower_mill,1315,"Calibration, geometry, or tuning parameter; not generated by process equations."
k_pump_j,parameter,"Q_{s,j}_ml_s",flotation,1500,"Calibration, geometry, or tuning parameter; not generated by process equations."
k_scrape_c,parameter,"h_ss_{s,c}",flotation,1567,"Calibration, geometry, or tuning parameter; not generated by process equations."
k_sil_mu,parameter,mu_slurry,global,207,"Calibration, geometry, or tuning parameter; not generated by process equations."
k_size_c,parameter,"E_size_{s,c}",flotation,1597,"Calibration, geometry, or tuning parameter; not generated by process equations."
k_temp_mu,parameter,mu_slurry,global,207,"Calibration, geometry, or tuning parameter; not generated by process equations."
k_w0,parameter,Q_conc_water,magnetic,1240,"Calibration, geometry, or tuning parameter; not generated by process equations."
k_w_clog,parameter,Q_conc_water,magnetic,1240,"Calibration, geometry, or tuning parameter; not generated by process equations."
k_water_split,parameter,alpha_ov_water,tower_mill,1336,"Calibration, geometry, or tuning parameter; not generated by process equations."
k_water_temp,parameter,T_slurry_i,boundary,374,"Calibration, geometry, or tuning parameter; not generated by process equations."
kair_cell_c,parameter,"I_cell_motor_phys_{s,c}",flotation,1656,"Calibration, geometry, or tuning parameter; not generated by process equations."
kb_mu1,parameter,T_bearing1,tower_mill,1394,"Calibration, geometry, or tuning parameter; not generated by process equations."
kb_mu2,parameter,T_bearing2,tower_mill,1395,"Calibration, geometry, or tuning parameter; not generated by process equations."
kbed_NT,parameter,I_NT_s,flotation,1465,"Calibration, geometry, or tuning parameter; not generated by process equations."
kbrg1,parameter,T_bearing1,tower_mill,1394,"Calibration, geometry, or tuning parameter; not generated by process equations."
kbrg2,parameter,T_bearing2,tower_mill,1395,"Calibration, geometry, or tuning parameter; not generated by process equations."
kclog_ring_I,parameter,I_ring_motor_phys,magnetic,1264,"Calibration, geometry, or tuning parameter; not generated by process equations."
kcoarse,parameter,grind_difficulty,tower_mill,1363,"Calibration, geometry, or tuning parameter; not generated by process equations."
kcool_oil,parameter,T_oil_ss,tower_mill,1391,"Calibration, geometry, or tuning parameter; not generated by process equations."
kf_j,parameter,"I_drug_j_phys_{s,j}",flotation,1501,"Calibration, geometry, or tuning parameter; not generated by process equations."
kf_ov,parameter,I_ov_pump_phys,tower_mill,1404,"Calibration, geometry, or tuning parameter; not generated by process equations."
kf_pool_k,parameter,"I_pool_phys_{s,k}",flotation,1641,"Calibration, geometry, or tuning parameter; not generated by process equations."
kf_pump,parameter,I_pump_phys,tower_mill,1317,"Calibration, geometry, or tuning parameter; not generated by process equations."
kf_ring,parameter,I_ring_motor_phys,magnetic,1264,"Calibration, geometry, or tuning parameter; not generated by process equations."
kload_cell_c,parameter,"I_cell_motor_phys_{s,c}",flotation,1656,"Calibration, geometry, or tuning parameter; not generated by process equations."
kloss_tank_k,parameter,"T_tank_ss_{s,k}",flotation,1653,"Calibration, geometry, or tuning parameter; not generated by process equations."
kmix_tank_k,parameter,"T_tank_ss_{s,k}",flotation,1653,"Calibration, geometry, or tuning parameter; not generated by process equations."
kmu,parameter,alpha_ov;grind_difficulty,tower_mill,1329;1363,"Calibration, geometry, or tuning parameter; not generated by process equations."
kmu_NT,parameter,I_NT_s,flotation,1465,"Calibration, geometry, or tuning parameter; not generated by process equations."
kmu_cell_c,parameter,"I_cell_motor_phys_{s,c}",flotation,1656,"Calibration, geometry, or tuning parameter; not generated by process equations."
kmu_pool_k,parameter,"I_pool_phys_{s,k}",flotation,1641,"Calibration, geometry, or tuning parameter; not generated by process equations."
kmu_pump,parameter,I_pump_phys,tower_mill,1317,"Calibration, geometry, or tuning parameter; not generated by process equations."
kpress_j,parameter,"I_drug_j_phys_{s,j}",flotation,1501,"Calibration, geometry, or tuning parameter; not generated by process equations."
kreagent_k,parameter,"T_tank_ss_{s,k}",flotation,1653,"Calibration, geometry, or tuning parameter; not generated by process equations."
krho_cell_c,parameter,"I_cell_motor_phys_{s,c}",flotation,1656,"Calibration, geometry, or tuning parameter; not generated by process equations."
krho_ov,parameter,I_ov_pump_phys,tower_mill,1404,"Calibration, geometry, or tuning parameter; not generated by process equations."
krho_pool_k,parameter,"I_pool_phys_{s,k}",flotation,1641,"Calibration, geometry, or tuning parameter; not generated by process equations."
krho_pump,parameter,I_pump_phys,tower_mill,1317,"Calibration, geometry, or tuning parameter; not generated by process equations."
krho_ring,parameter,I_ring_motor_phys,magnetic,1264,"Calibration, geometry, or tuning parameter; not generated by process equations."
ksteam_k,parameter,"T_tank_ss_{s,k}",flotation,1653,"Calibration, geometry, or tuning parameter; not generated by process equations."
kvis_j,parameter,"I_drug_j_phys_{s,j}",flotation,1501,"Calibration, geometry, or tuning parameter; not generated by process equations."
lab_sample_template,known_global,lab_mag_mixed_conc_tfe;lab_tm_overflow_tfe,lab,manual,Shared simulation constant or helper function.
liberation_potential,known_global,Liberation_fe_discharge_inst;Liberation_gangue_discharge_inst,tower_mill,1375;1376,Shared simulation constant or helper function.
logit,known_global,F200_i,boundary,332,Shared simulation constant or helper function.
matrix_clog_prev,previous_state_reference,matrix_clog,magnetic,1233,Lagged state supplied by the simulator state store.
matrix_clog_ref,parameter,split_tail_1,magnetic,1244,"Calibration, geometry, or tuning parameter; not generated by process equations."
mean_c,known_global,dose_need_TD_rough_s,flotation,1491,Shared simulation constant or helper function.
mean_froth_h_lag,previous_state_reference,quality_proxy_s,flotation,1471,Lagged state supplied by the simulator state store.
"mean_{s,c}",template_variable,P_header_sp,flotation,1537,Template index or symbolic family member resolved during code generation.
meas,known_global,MC1_FET503_AI;MC1_TM204_HDZC_1_WD_AI;MC1_TM204_ZDJ_DZ_A_WD_AI;MC1_TM206_HDZC_2_WD_AI;MC1_TM206_ZDJ_DZ_B_WD_AI;agg_mag_blowdown_valve;agg_mag_coil_temp;agg_mag_excit_current;agg_mag_excit_voltage;agg_mag_flush_water_pressure;agg_mag_level;agg_mag_motor_current_rc;agg_mag_motor_voltage_rc;agg_mag_pulsation_freq;agg_mag_ring_freq;agg_mag_tailings_valve1;agg_mag_tailings_valve2;agg_tm_cyclone_feed_flow;agg_tm_cyclone_feed_pressure;agg_tm_cyclone_overflow_pool_level;agg_tm_cyclone_pool_level;agg_tm_cyclone_pool_valve_setpoint;agg_tm_cyclone_pump_current;agg_tm_cyclone_pump_freq;agg_tm_cyclone_sand_valve_feedback;agg_tm_cyclone_sand_valve_setpoint;agg_tm_cyclone_sand_water_flow;agg_tm_motor_current;agg_tm_overflow_pump_current;agg_tm_reducer_oil_temp;agg_tm_reducer_outlet_temp;fx_ah5_power;fx_ah6_power;fx_blower{b}_pressure;fx_nt{s}_motor_current;fx_nt{s}_underflow_density;fx_s1_ft1701;fx_s1_ft1702;fx_s2_ft2701;fx_s2_ft2702;fx_s{s}_k6_level;fx_s{s}_ph;fx_s{s}_pool{k}_level;fx_s{s}_pool{k}_pump_curr;fx_s{s}_pool{k}_pump_freq;fx_s{s}_tk{k}_mixer_curr;fx_s{s}_tk{k}_steam_fb;fx_s{s}_tk{k}_steam_sp;fx_s{s}_tk{k}_temp;fx_s{s}_{c}_air_flow;fx_s{s}_{c}_air_sp;fx_s{s}_{c}_bv_pos;fx_s{s}_{c}_froth_h;fx_s{s}_{c}_level;fx_s{s}_{c}_level_valve_fb;fx_s{s}_{c}_level_valve_sp;fx_s{s}_{c}_motor_curr;fx_s{s}_{drug}_curr;fx_s{s}_{drug}_freq,dcs;flotation;magnetic;tower_mill,1271;1272;1273;1274;1275;1276;1277;1278;1279;1280;1281;1282;1410;1411;1412;1413;1414;1415;1416;1417;1418;1419;1420;1421;1422;1423;1424;1425;1426;1427;1428;1680;1681;1682;1683;1684;1685;1686;1687;1688;1689;1690;1691;1692;1693;1694;1695;1696;1697;1698;1699;1700;1701;1702;1703;1704;1705;1706;manual,Shared simulation constant or helper function.
min_tau_cyc_pool,parameter,tau_cyc_pool,tower_mill,1290,"Calibration, geometry, or tuning parameter; not generated by process equations."
mu_reagent0_j,stream_or_state_input,"reagent_viscosity_{s,j}",flotation,1647,Upstream stream or dynamic state entering this formula from process topology.
mu_ref,known_global,"E_mu_{s,c};alpha_ov;d50;entrainment_factor_{s,c};gas_holdup_{s,c};grind_difficulty",flotation;tower_mill,1328;1329;1363;1558;1599;1600,Shared simulation constant or helper function.
mu_slurry_s,stream_or_state_input,"E_mu_{s,c};I_cell_motor_phys_{s,c};I_mixer_phys_{s,k};I_pool_phys_{s,k};entrainment_factor_{s,c};gas_holdup_{s,c}",flotation,1558;1599;1600;1641;1651;1656,Upstream stream or dynamic state entering this formula from process topology.
mu_water,stream_or_state_input,mu_slurry,global,207,Upstream stream or dynamic state entering this formula from process topology.
n_rr,known_global,F325_i;f25_i,boundary,333;334,Shared simulation constant or helper function.
operator_trim,parameter,u_sp,global,282,"Calibration, geometry, or tuning parameter; not generated by process equations."
operator_trim_I,parameter,I_exc_sp,magnetic,1214,"Calibration, geometry, or tuning parameter; not generated by process equations."
"operator_trim_air_{s,c}",parameter,"Q_air_sp_{s,c}",flotation,1535,"Calibration, geometry, or tuning parameter; not generated by process equations."
operator_trim_feed,parameter,M_feed_sp,flotation,1622,"Calibration, geometry, or tuning parameter; not generated by process equations."
operator_trim_pH_s,parameter,pH_sp_s,flotation,1520,"Calibration, geometry, or tuning parameter; not generated by process equations."
operator_trim_split_s1,parameter,split_s1_total,flotation,1624,"Calibration, geometry, or tuning parameter; not generated by process equations."
operator_trim_tail_split,parameter,split_tail_1,magnetic,1244,"Calibration, geometry, or tuning parameter; not generated by process equations."
operator_trim_td_clean_s,parameter,dose_need_TD_clean_s,flotation,1492,"Calibration, geometry, or tuning parameter; not generated by process equations."
operator_trim_td_s,parameter,dose_need_TD_rough_s,flotation,1491,"Calibration, geometry, or tuning parameter; not generated by process equations."
pH_base,ore_or_process_state,pH_ss_s,flotation,1527,Ore property or process state carried by streams or generated at boundary.
pH_lag_s,ore_or_process_state,dose_need_naoh_s,flotation,1521,Ore property or process state carried by streams or generated at boundary.
pH_max,parameter,pH_sp_s,flotation,1520,"Calibration, geometry, or tuning parameter; not generated by process equations."
pH_min,parameter,pH_sp_s,flotation,1520,"Calibration, geometry, or tuning parameter; not generated by process equations."
pH_nom,parameter,pH_sp_s,flotation,1520,"Calibration, geometry, or tuning parameter; not generated by process equations."
pH_opt_c,ore_or_process_state,"E_pH_{s,c}",flotation,1594,Ore property or process state carried by streams or generated at boundary.
pH_prev_s,ore_or_process_state,pH_s,flotation,1528,Ore property or process state carried by streams or generated at boundary.
partition_fine_j,known_global,overflow_j,tower_mill,600,Shared simulation constant or helper function.
pf,template_index,I_tm_phys,tower_mill,1371,Short template index resolved during code generation.
pf_blower_b,parameter,I_blower_phys_b;P_blower_power_b,flotation,1552;1660,"Calibration, geometry, or tuning parameter; not generated by process equations."
pf_cell,parameter,"P_cell_motor_{s,c}",flotation,1657,"Calibration, geometry, or tuning parameter; not generated by process equations."
pf_drug,parameter,"P_drug_pump_{s,j}",flotation,1659,"Calibration, geometry, or tuning parameter; not generated by process equations."
pf_mixer_k,parameter,"mixer_power_{s,k}",flotation,1652,"Calibration, geometry, or tuning parameter; not generated by process equations."
pf_pool,parameter,"P_pool_pump_{s,k}",flotation,1658,"Calibration, geometry, or tuning parameter; not generated by process equations."
pipe_resistance_s1_1,equipment_parameter,split_s1_meter1,flotation,1627,Fixed equipment geometry or resistance parameter.
pipe_resistance_s1_2,equipment_parameter,split_s1_meter1,flotation,1627,Fixed equipment geometry or resistance parameter.
pipe_resistance_s2_1,equipment_parameter,split_s2_meter1,flotation,1628,Fixed equipment geometry or resistance parameter.
pipe_resistance_s2_2,equipment_parameter,split_s2_meter1,flotation,1628,Fixed equipment geometry or resistance parameter.
quality_proxy_ref,parameter,dose_need_TD_clean_s,flotation,1492,"Calibration, geometry, or tuning parameter; not generated by process equations."
r_carb,ore_or_process_state,buffer_capacity;floatability_difficulty;hydrophobic_potential;magnetic_difficulty,flotation;global;magnetic,1207;1478;238;250,Ore property or process state carried by streams or generated at boundary.
r_carb_1,ore_or_process_state,_x_r_carb_mixed,boundary,391,Ore property or process state carried by streams or generated at boundary.
r_carb_2,ore_or_process_state,_x_r_carb_mixed,boundary,391,Ore property or process state carried by streams or generated at boundary.
r_carb_3,ore_or_process_state,_x_r_carb_mixed,boundary,391,Ore property or process state carried by streams or generated at boundary.
r_carb_i,ore_or_process_state,Fe_carb_i;dr_carb_i,boundary;global,146;343,Ore property or process state carried by streams or generated at boundary.
r_carb_ref,parameter,pH_sp_s,flotation,1520,"Calibration, geometry, or tuning parameter; not generated by process equations."
r_carb_s,ore_or_process_state,"buffer_capacity_s;dose_need_DF_K6_s;dose_need_cao_s;floatability_difficulty_s;k_float_carb_{s,c};pH_sp_s",flotation,1493;1519;1520;1522;1604;manual,Ore property or process state carried by streams or generated at boundary.
r_carb_target_i,ore_or_process_state,dr_carb_i,global,146,Ore property or process state carried by streams or generated at boundary.
r_hem_i,ore_or_process_state,Fe_hem_i,boundary,342,Ore property or process state carried by streams or generated at boundary.
r_mag,ore_or_process_state,I_exc_sp;magnetic_difficulty,magnetic,1207;1214,Ore property or process state carried by streams or generated at boundary.
r_mag_i,ore_or_process_state,Fe_mag_i;TFe_i,boundary,320;341,Ore property or process state carried by streams or generated at boundary.
